age,cso80_m,cso80_f,hanre_m,hanre_f,genre_m,genre_f
0,0.00263,0.00188,0,0,0,0
1,0.00103,0.00084,0,0,0,0
2,0.00099,0.0008,0,0,0,0
3,0.00097,0.00078,0,0,0,0
4,0.00093,0.00077,0,0,0,0
5,0.00088,0.00075,0,0,0,0
6,0.00083,0.00073,0,0,0,0
7,0.00078,0.00071,0,0,0,0
8,0.00075,0.0007,0,0,0,0
9,0.00074,0.00069,0,0,0,0
10,0.00075,0.00068,0,0,0,0
11,0.00081,0.0007,0,0,0,0
12,0.00092,0.00073,0,0,0,0
13,0.00107,0.00077,0,0,0,0
14,0.00124,0.00082,0,0,0,0
15,0.00142,0.00087,0,0,0,0
16,0.00159,0.00092,0,0,0,0
17,0.00172,0.00096,0,0,0,0
18,0.00182,0.001,0.76,0.46,0.7,0.6
19,0.00188,0.00103,0.77,0.49,0.71,0.6
20,0.0019,0.00106,0.79,0.52,0.73,0.62
21,0.0019,0.00108,0.8,0.53,0.75,0.63
22,0.00188,0.0011,0.8,0.55,0.77,0.65
23,0.00184,0.00112,0.79,0.59,0.83,0.7
24,0.0018,0.00115,0.82,0.62,0.89,0.75
25,0.00175,0.00117,0.83,0.62,0.95,0.78
26,0.00172,0.0012,0.84,0.64,1.01,0.81
27,0.00171,0.00124,0.86,0.65,1.07,0.84
28,0.0017,0.00128,0.9,0.67,1.1,0.84
29,0.00172,0.00132,0.9,0.68,1.14,0.85
30,0.00175,0.00137,0.92,0.7,1.21,0.91
31,0.0018,0.00142,0.98,0.72,1.27,0.97
32,0.00187,0.00147,1.06,0.72,1.34,1.03
33,0.00195,0.00154,1.13,0.74,1.4,1.1
34,0.00205,0.00161,1.18,0.74,1.47,1.16
35,0.00217,0.0017,1.26,0.76,1.61,1.25
36,0.00232,0.00182,1.33,0.79,1.75,1.34
37,0.00249,0.00196,1.43,0.83,1.9,1.43
38,0.00268,0.00213,1.51,0.86,2.02,1.51
39,0.0029,0.00232,1.6,0.9,2.14,1.58
40,0.00315,0.00253,1.68,0.96,2.26,1.72
41,0.00342,0.00275,1.74,1.03,2.39,1.85
42,0.00371,0.00298,1.84,1.12,2.51,1.98
43,0.00403,0.0032,1.93,1.19,2.64,2.11
44,0.00437,0.00344,2.08,1.3,2.77,2.25
45,0.00473,0.00368,2.21,1.4,3.04,2.38
46,0.00512,0.00392,2.4,1.51,3.31,2.52
47,0.00553,0.00419,2.58,1.63,3.58,2.65
48,0.00597,0.00448,2.8,1.79,3.85,2.79
49,0.00646,0.00479,3.02,1.97,4.13,2.93
50,0.007,0.00513,3.26,2.15,4.39,3.11
51,0.00763,0.0055,3.54,2.36,4.64,3.3
52,0.00833,0.00592,3.86,2.57,4.9,3.49
53,0.00913,0.00638,4.2,2.83,5.2,3.7
54,0.01001,0.00685,4.55,3.1,5.51,3.93
55,0.01096,0.00733,4.97,3.4,6.29,4.54
56,0.01197,0.0078,5.42,3.74,7.1,5.17
57,0.01304,0.00825,5.94,4.13,7.94,5.82
58,0.01418,0.0087,6.59,4.58,8.82,6.49
59,0.01542,0.0092,7.27,5.1,9.73,7.18
60,0.0168,0.0098,8.11,5.71,11.05,7.96
61,0.01836,0.01054,9.12,6.44,12.45,8.78
62,0.02012,0.01149,10.25,7.25,13.92,9.62
63,0.02209,0.01263,11.53,8.17,15.48,10.5
64,0.02427,0.01392,12.96,9.17,17.13,11.42
65,0.02662,0.01529,14.46,10.25,18.83,12.75
66,0.02913,0.01671,16.09,11.4,20.68,14.16
67,0.03179,0.01813,17.84,12.59,22.66,15.65
68,0.03465,0.01959,19.7,13.81,24.82,17.23
69,0.03781,0.02123,21.69,15.09,27.16,18.9
70,0.04137,0.02316,23.8,16.47,29.54,21.01
71,0.04543,0.02553,25.44,17.77,32.19,23.29
72,0.05008,0.02847,27.2,19.25,35.15,25.78
73,0.05534,0.03199,29.11,20.89,38.47,28.49
74,0.0611,0.03605,31.23,22.8,42.21,31.45
75,0.06725,0.04056,33.61,24.99,46.35,34.48
76,0.0737,0.04545,36.28,27.48,51.17,37.89
77,0.08037,0.05068,39.25,30.3,56.86,41.75
78,0.08732,0.05632,0,0,0,0
79,0.09476,0.06257,0,0,0,0
80,0.10294,0.06967,0,0,0,0
81,0.11209,0.07783,0,0,0,0
82,0.12241,0.08725,0,0,0,0
83,0.13384,0.0979,0,0,0,0
84,0.14612,0.10962,0,0,0,0
85,0.15898,0.12229,0,0,0,0
86,0.17221,0.13582,0,0,0,0
87,0.18573,0.15018,0,0,0,0
88,0.19953,0.16538,0,0,0,0
89,0.21369,0.18154,0,0,0,0
90,0.22843,0.19885,0,0,0,0
91,0.24411,0.21768,0,0,0,0
92,0.26143,0.23869,0,0,0,0
93,0.28213,0.26341,0,0,0,0
94,0.30997,0.29523,0,0,0,0
95,0.35186,0.34102,0,0,0,0
96,0.42099,0.41388,0,0,0,0
97,0.541,0.53724,0,0,0,0
98,0.74515,0.74396,0,0,0,0
99,1,1,0,0,0,0
100,1,1,0,0,0,0
101,1,1,0,0,0,0
102,1,1,0,0,0,0
103,1,1,0,0,0,0
104,1,1,0,0,0,0
105,1,1,0,0,0,0
106,1,1,0,0,0,0
107,1,1,0,0,0,0
108,1,1,0,0,0,0
109,1,1,0,0,0,0
110,1,1,0,0,0,0
111,1,1,0,0,0,0
112,1,1,0,0,0,0
113,1,1,0,0,0,0
114,1,1,0,0,0,0
115,1,1,0,0,0,0
116,1,1,0,0,0,0
117,1,1,0,0,0,0
118,1,1,0,0,0,0
119,1,1,0,0,0,0
120,1,1,0,0,0,0
